
# Classification criteria description	XG1E1	XG1E2
XG750	XG750A
1. Vehicle	XG1	<<
1.1. category;	L3e	<<
1.2. sub-category;	A3	<<
1.3. the inertia of a vehicle variant(s) or version(s) within two inertia categories above or below the nominal inertia category;	310	<<
1.4. overall gear ratios (+/– 8 %);	0%	<<
2. Propulsion family characteristics		
2.1. number of engines or electric motors;	1	<<
2.2. hybrid operation mode(s) (parallel / sequential / other);	N/A	<<
2.3. number of cylinders of the combustion engine;	2	<<
2.4. engine capacity (+/– 2 %) ( 1 ) of the combustion engine;	750	<<
2.5. number and control (variable cam phasing or lift) of combustion engine valves;	2/in, 2/out	<<
2.6. monofuel / bifuel / flex fuel H 2 NG / multifuel;	Mono fuel	<<
2.7. fuel system (carburettor / scavenging port / port fuel injection /direct fuel injection / common rail / pump-injector / other);	Port fuel injection	<<
2.8. fuel storage ( 2 );	13.1	<<
2.9. type of cooling system of combustion engine;	Liquid	<<
2.10. combustion cycle (PI / CI / two-stroke / four-stroke / other);	Four-stroke	<<
2.11. intake air system (naturally aspirated / charged (turbocharger /super-charger) / intercooler / boost control) and air induction	Naturally aspirated	<<
2.12. control (mechanical throttle / electronic throttle control / no throttle);	Mechanical	<<
3. Pollution control system characteristics		
3.1. propulsion exhaust (not) equipped with catalytic converter(s);	Catalytic converter(s)	<<
3.1. catalytic converter(s) type;		
3.1.1. number and elements of catalytic converters;	1	<<
3.1.2. size of catalytic converters (volume of monolith(s) +/– 15 %);	398	<<
3.1.3. operation principle of catalytic activity (oxidising, threeway, heated, SCR, other.);	Three way	<<
3.1.4. precious metal load (identical or higher);	40 g/ft3	
3.1.4.1 precious metal ratio (+/– 15 %);	1.0:1	<<
3.1.5. substrate (structure and material);	BASF REX-1281	<<
3.1.6. cell density;	300 CPSI	<<
3.1.7. type of casing for the catalytic converter(s);		
3.2. propulsion exhaust (not) equipped with particulate filter (PF);
