user

Please extract the text from the image. Make sure to maintain the table layout and maintain the correct text order. Please do not add any additional words.assistant

| Component | Fault code | Monitoring strategy | Fault detection criteria | MI activation criteria | Secondary parameters | Preconditioning | Demonstration test |
| --- | --- | --- | --- | --- | --- | --- | --- |
| VSS Failed Low | P0502 | Continuous | Vehicle speed sensor input is low for 3.97 seconds while engine is operating at a moderate speed and load. | Fault Detected | 2500 < Engine Speed < 4000 | Ignition Cycle | Idle Cycle |
| VSS Failed High | P0503 | Continuous | Vehicle speed sensor input is high for 3.97 seconds while engine is operating at a moderate speed and load. | Fault Detected | 2500 < Engine Speed < 4000 | Ignition Cycle | Idle Cycle |
| Idle Speed Control - Unstable | P0505 | Continuous | Sum of difference between max and min MAP values over 3 second periods exceeds threshold. | Fault Detected | TGS < 0.9% | Ignition Cycle | Idle Cycle |
| ECM EEPROM Memory Error | P0603 | Continuous | ECM detects an internal error when writing nonvolatile memory. | Fault Detected |  | Ignition Cycle | Idle Cycle |
| ECM FLASH Memory Error | P0605 | Continuous | ECM detects an internal memory error. | Fault Detected |  | Ignition Cycle | Idle Cycle |
| 5 Volt Reference Out of Range | P0641 | Continuous | analog supply 1 voltage < 4.72 volts or analog supply 1 voltage > 5.26 volts continuously for 16 ms | Fault Detected |  | Ignition Cycle | Idle Cycle |
| 5 Volt Reference 2 Out of Range | P0651 | Continuous | analog supply 2 voltage < 4.72 volts or analog supply 2 voltage > 5.26 volts continuously for 16 ms | Fault Detected |  | Ignition Cycle | Idle Cycle |
| ECT Difference (High Temp) | P1019 | Continuous | Engine temperature is more than 70 degrees C higher than coolant temperature continuously for 3.01 sec. | Fault Detected | Engine temperature or coolant temperature > 110 deg. C | Ignition Cycle | Idle Cycle |
| TGS 2 A/D Validation Error | P1270 | Continuous | TGS2 measured value from A/D block one differs from TGS2 measured value from A/D blockand by more than 0.78 volts continuously for 24 ms | Fault Detected | Engine running for > 1 sec | Ignition Cycle | Idle Cycle |
| JSS Low | P1501 | Continuous | Sidestand input voltage is less than 0.59 volts continuously for 1.05 sec | Fault Detected |  | Ignition Cycle | Idle Cycle |
| JSS High/Open | P1502 | Continuous | Sidestand input voltage exceeds 4.71 continuously for 1.05 sec | Fault Detected |  | Ignition Cycle | Idle Cycle |
| Power Limit Violation | P1505 | Continuous | Measured MAP_Load exceeds expected MAP at a speed and load indicative of tampering with the 35 kW limit. | Fault Detected | Engine Speed Throttle Position | Ignition Cycle | Idle Cycle |
| ETC Limited Performance Mode | P1510 | Continuous | This DTC is set to indicate the vehicle is operating in Limited Performance Mode. | Fault Detected |  | Ignition Cycle | Idle Cycle |
| ETC Power Management Mode | P1511 | Continuous | This DTC is set to indicate the vehicle is operating in Power Management Mode. | Fault Detected |  | Ignition Cycle | Idle Cycle |
| ETC Forced Idle Mode | P1512 | Continuous | This DTC is set to indicate the vehicle is operating in Forced Idle Mode. | Fault Detected |  | Ignition Cycle | Idle Cycle |
