 | Component | Fault Code | Monitoring Strategy | Fault Detection Criteria | MI Activation Criteria | Secondary Parameters | Preconditioning | Demonstration Test |
|-----------|------------|---------------------|------------------------|------------------------|------------------------|---------------------|---------------------|
| VSS Failed Low | P0502 | Continuous | Vehicle speed sensor input is low for > 3.97 seconds while engine is operating at a moderate speed and load | Fault Detected | 2500 > Engine Speed > 4000 | Ignition Cycle | Idle Cycle |
| VSS Failed High | P0503 | Continuous | Vehicle speed sensor input is high for > 3.97 seconds while engine is operating at a moderate speed and load | Fault Detected | 2500 > Engine Speed > 4000 | Ignition Cycle | Idle Cycle |
| Idle Speed Control - Unstable | P0505 | Continuous | Sum of max and min MAP values over 3 seconds exceeds threshold and MAP load > 0.1 kPa; MAP second derivative exceeds threshold for > 0.1 seconds | Fault Detected | TGS < 0.9% | Ignition Cycle | Idle Cycle |
| ECM EEPROM Memory Error | P0603 | Continuous | ECM detects an internal error when writing nonvolatile memory | Fault Detected | Ignition Cycle | Idle Cycle |
| ECM FLASH Memory Error | P0605 | Continuous | ECM detects an internal error when writing nonvolatile memory | Fault Detected | Ignition Cycle | Idle Cycle |
| 5 Volt Reference Out of Range | P0641 | Continuous | Analog supply 1 voltage < 4.72 volts or analog supply 2 voltage > 5.26 volts continuously for 16 seconds | Fault Detected | Ignition Cycle | Idle Cycle |
| 5 Volt Reference Out of Range 2 | P0651 | Continuous | Analog supply 1 voltage > 4.72 volts and analog supply 2 voltage < 5.26 volts continuously for 16 seconds | Fault Detected | Ignition Cycle | Idle Cycle |
| ECT Difference (High Temp) | P1019 | Continuous | Engine temperature is more than 70 degrees C higher than normal temperature or coolant temperature > 110 degrees C | Fault Detected | Ignition Cycle | Idle Cycle |
| TGS 2A D Validation Error | P1270 | Continuous | TGS2 measured value from A/D block 1 differs from TGS2 measured value from A/D block 2 by more than 0.78 volts for > 24 ms or > 1 second | Fault Detected | Ignition Cycle | Idle Cycle |
| JSS Low | P1501 | Continuous | Sidestream input voltage is less than 0.59 volts continuously for 1.0 second | Fault Detected | Ignition Cycle | Idle Cycle |
| JSS High/Open | P1502 | Continuous | Sidestream input voltage exceeds 4.71 volts and load indicated by MAP is < 0.1 kPa at a speed > 35 km/h for 1.05 seconds | Fault Detected | Ignition Cycle | Idle Cycle |
| Power Limit Violation | P1505 | Continuous | Actual load MAP exceeds expected MAP at a speed > 35 km/h and load indicated by MAP is < 0.1 kPa | Fault Detected | Ignition Cycle | Idle Cycle |
| ETC Limited Performance Mode | P1510 | Continuous | This DTC is set to indicate the vehicle is operating in Limited Performance Mode | Fault Detected | Ignition Cycle | Idle Cycle |
| ETC Power Management Mode | P1511 | Continuous | This DTC is set to indicate the vehicle is operating in Power Management Mode | Fault Detected | Ignition Cycle | Idle Cycle |
| ETC Forced Idle Mode | P1512 | Continuous | This DTC is set to indicate the vehicle is operating in Forced Idle Mode | Fault Detected | Ignition Cycle | Idle Cycle |
